,name,lat,lon
0,Ukraine,48.379433,31.16558
1,"Ottawa, Ontario",45.4215296,-75.69719309999999
2,"EU, D, Berlin, SEA",52.52000659999999,13.404954
3,"Uzda, Minsk region",53.4659992,27.2028584
4,"California, USA",36.778261,-119.4179324
5,Україна,48.379433,31.16558
6,Chinese cows' field,35.86166,104.195397
7,USA,37.09024,-95.712891
8,Antalya,36.8968908,30.7133233
9,"Башкортостан республика, Росси",54.2312172,56.1645257
10,Владивосток,43.1332484,131.9112975
11,"Москва, Россия",55.755826,37.6173
12,"Ulaanbaatar, Mongolia",47.88639879999999,106.9057439
13,Mongolia,46.862496,103.846656
14,м. Київ,50.4501,30.5234
15,mongolia,46.862496,103.846656
16,Волинь,50.74723299999999,25.325383
17,"Україна, Одеса",46.482526,30.7233095
18,Chicago,41.8781136,-87.6297982
19,amsterdam,52.3675734,4.9041389
20,"Loja, Ecuador",-4.0078909,-79.2112769
21,"Burlington, Ontario, Canada",43.3255196,-79.7990319
22,Russia,61.52401,105.318756
23,Беларусь,53.709807,27.953389
24,Украина,48.379433,31.16558
25,United States,37.09024,-95.712891
26,"Brooklyn, NY",40.6781784,-73.9441579
27,Moldova,47.411631,28.369885
28,United States Minor Outlying I,19.2823192,166.647047
29,Монгол улс,46.862496,103.846656
30,Kazakhstan,48.019573,66.923684
31,Anaheim CA,33.8365932,-117.9143012
32,"Hillegom, Nederland",52.2956262,4.579176299999999
33,"Kerala, India",10.8505159,76.2710833
34,Lyon,45.764043,4.835659
35,AMERICA,37.09024,-95.712891
36,"Navarra, Tierra del Espíritu",42.6953909,-1.6760691
37,"Cambridge, MA, USA",42.3736158,-71.10973349999999
38,Cabrini Green ,41.9010905,-87.64146360000001
39,⚫🔥Narrenhochburg NRW ,51.43323669999999,7.661593799999999
40,ישראל,31.046051,34.851612
41,"Mueang Pattaya, Thailand",12.9235557,100.8824551
42,#Обнинск,55.1170375,36.5970818
43,"Anchorage, Alaska",61.2180556,-149.9002778
44,Kyiv ,50.4501,30.5234
45,"Dnipro City, Ukraine",48.464717,35.046183
46,Киев,50.4501,30.5234
47,"Odessa, Ukraine",46.482526,30.7233095
48,Sexaginta Prista,43.846698,25.9459825
49,kyiv,50.4501,30.5234
50,"Donetsk, Ukraine",48.015883,37.80285
51,"Baden-Württemberg, Deutschland",48.6616037,9.3501336
52,CABA,16.4474302,120.378138
53,"Украина, Черноморск",46.2952236,30.6480855
54, Deutschland,51.165691,10.451526
55,"Montréal, Québec",45.5016889,-73.567256
56,"томск,россия/tomsk,russia",56.4884295,84.9480469
57,zagreb,45.8150108,15.981919
58,Canada,56.130366,-106.346771
59,"Orange County, California",33.7174708,-117.8311428
60,"Донецк, ДНР",48.015883,37.80285
61,Стокгольм - Санкт-Петербург,59.6731323,24.2189889
62,Warszawa,52.2296756,21.0122287
63,"Kirkintilloch, Scotland",55.9392401,-4.1561656
64,"Nova Scotia, Canada",44.68198659999999,-63.744311
65,"Saint-Petersburg, Russia",59.9310584,30.3609097
66,"Helsinki, Suomi",60.16985569999999,24.938379
67,Holzminden,51.8238111,9.4558926
68,Ukraine ✌️ ,48.379433,31.16558
69,"England, United Kingdom",52.3555177,-1.1743197
70,kherson,46.635417,32.616867
71,"Харьков, Украина",49.9935,36.230383
72,Türkiye,38.963745,35.243322
73,Ираклион,35.3387352,25.1442126
74,Denmark,56.26392,9.501785
75,"Kraków, Polska",50.06465009999999,19.9449799
76,Latvia,56.879635,24.603189
77,Kyiv,50.4501,30.5234
78,France,46.227638,2.213749
79,埼玉県上尾市,35.9774474,139.5931801
80,Запорожье,47.8388,35.139567
81,Antalya'nın Nevada çölü'lü,36.8968908,30.7133233
82,long way in U.S.,37.09024,-95.712891
83,Россия,61.52401,105.318756
84,"Ukraine, Lviv",49.839683,24.029717
85,venezia,45.4408474,12.3155151
86,cz-wa,50.8118195,19.1203094
87,"Сочи, Россия",43.60280789999999,39.7341543
88,Brisbane - Australia,-27.4704528,153.0260341
89,Berlin,52.52000659999999,13.404954
90,"London, England",51.5072178,-0.1275862
91,Rīga,56.9496487,24.1051864
92,"Насиминский район, улица Р.Рзы",40.3925716,49.8315374
93,Poland,51.919438,19.145136
94,"Баку, Азербайджан",40.40926169999999,49.8670924
95,"Kharkiv, Ukraine",49.9935,36.230383
96,Spain,40.46366700000001,-3.74922
97,"Bakı , Azərbaycan",40.40926169999999,49.8670924
98,"İstanbul, Türkiye",41.0082376,28.9783589
99,Бишкек,42.8746212,74.5697617
100,Altensteig ,48.5883792,8.606063299999999
101,Suomi,61.92410999999999,25.748151
102,"Durham, England, UK, EU till I die.",54.77525,-1.584852
103,бездна Челленджера,11.373333,142.591667
104,#Kyiv #Irpin’,50.51875,30.239783
105,Eleven,40.4460652,-79.993172
106,📍ar 58; europe; 712710166,54.5259614,15.2551187
107,Китай,35.86166,104.195397
108,kramatorsk,48.738967,37.58435
109,Киев ,50.4501,30.5234
110,"Moscow, Russia",55.755826,37.6173
111,Tallinn,59.43696079999999,24.7535746
112,украина днепропетровск,48.464717,35.046183
113,"Kyiv, Ucraina",50.4501,30.5234
114,Барселона.,41.3873974,2.168568
115,"Munich, Bavaria",48.1351253,11.5819806
116,Israel,31.046051,34.851612
